framework              , test                                                         , time    
Preact Signals         , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 246.64  
Preact Signals         , 1000x12 - 4 sources - dynamic (large web app)                , 3423.72 
Preact Signals         , 1000x5 - 25 sources (wide dense)                             , 2512.89 
Preact Signals         , 5x500 - 3 sources (deep)                                     , 199.29  
@reactively            , avoidablePropagation                                         , 480.60  
@reactively            , broadPropagation                                             , 367.39  
@reactively            , deepPropagation                                              , 151.34  
@reactively            , diamond                                                      , 375.94  
@reactively            , mux                                                          , 308.54  
@reactively            , repeatedObservers                                            , 78.86   
@reactively            , triangle                                                     , 111.11  
@reactively            , unstable                                                     , 165.67  
@reactively            , molBench                                                     , 588.14  
@reactively            , createDataSignals                                            , 48.44   
@reactively            , createComputations0to1                                       , 59.17   
@reactively            , createComputations1to1                                       , 56.38   
@reactively            , createComputations2to1                                       , 61.37   
@reactively            , createComputations4to1                                       , 100.01  
@reactively            , createComputations1000to1                                    , 48.95   
@reactively            , createComputations1to2                                       , 49.91   
@reactively            , createComputations1to4                                       , 54.55   
@reactively            , createComputations1to8                                       , 144.59  
@reactively            , createComputations1to1000                                    , 102.40  
@reactively            , updateComputations1to1                                       , 52.91   
@reactively            , updateComputations2to1                                       , 104.95  
@reactively            , updateComputations4to1                                       , 138.66  
@reactively            , updateComputations1000to1                                    , 135.58  
@reactively            , updateComputations1to2                                       , 55.86   
@reactively            , updateComputations1to4                                       , 99.98   
@reactively            , updateComputations1to1000                                    , 136.31  
@reactively            , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 424.13  
@reactively            , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 736.91  
@reactively            , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 361.51  
@reactively            , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 641.16  
@reactively            , 10x5 - 2 sources - read 20% (simple component)               , 309.18  
@reactively            , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 319.47  
@reactively            , 1000x12 - 4 sources - dynamic (large web app)                , 429.61  
@reactively            , 1000x5 - 25 sources (wide dense)                             , 567.90  
@reactively            , 5x500 - 3 sources (deep)                                     , 248.92  
s-js                   , avoidablePropagation                                         , 538.55  
s-js                   , broadPropagation                                             , 283.91  
s-js                   , deepPropagation                                              , 98.61   
s-js                   , diamond                                                      , 367.97  
s-js                   , mux                                                          , 372.88  
s-js                   , repeatedObservers                                            , 104.58  
s-js                   , triangle                                                     , 111.74  
s-js                   , unstable                                                     , 130.01  
s-js                   , molBench                                                     , 904.69  
s-js                   , createDataSignals                                            , 68.13   
s-js                   , createComputations0to1                                       , 67.69   
s-js                   , createComputations1to1                                       , 92.71   
s-js                   , createComputations2to1                                       , 73.50   
s-js                   , createComputations4to1                                       , 62.66   
s-js                   , createComputations1000to1                                    , 65.81   
s-js                   , createComputations1to2                                       , 62.19   
s-js                   , createComputations1to4                                       , 63.24   
s-js                   , createComputations1to8                                       , 58.35   
s-js                   , createComputations1to1000                                    , 73.41   
s-js                   , updateComputations1to1                                       , 88.89   
s-js                   , updateComputations2to1                                       , 90.08   
s-js                   , updateComputations4to1                                       , 70.08   
s-js                   , updateComputations1000to1                                    , 74.82   
s-js                   , updateComputations1to2                                       , 101.81  
s-js                   , updateComputations1to4                                       , 80.64   
s-js                   , updateComputations1to1000                                    , 91.55   
s-js                   , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 1117.81 
s-js                   , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 908.88  
s-js                   , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 693.37  
s-js                   , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 904.86  
s-js                   , 10x5 - 2 sources - read 20% (simple component)               , 815.70  
s-js                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 478.77  
s-js                   , 1000x12 - 4 sources - dynamic (large web app)                , 520.04  
s-js                   , 1000x5 - 25 sources (wide dense)                             , 1003.70 
s-js                   , 5x500 - 3 sources (deep)                                     , 300.71  
@amadeus-it-group/tans , avoidablePropagation                                         , 636.90  
@amadeus-it-group/tans , broadPropagation                                             , 763.88  
@amadeus-it-group/tans , deepPropagation                                              , 252.23  
@amadeus-it-group/tans , diamond                                                      , 507.69  
@amadeus-it-group/tans , mux                                                          , 572.87  
@amadeus-it-group/tans , repeatedObservers                                            , 102.90  
@amadeus-it-group/tans , triangle                                                     , 155.74  
@amadeus-it-group/tans , unstable                                                     , 198.10  
@amadeus-it-group/tans , molBench                                                     , 597.83  
@amadeus-it-group/tans , createDataSignals                                            , 73.66   
@amadeus-it-group/tans , createComputations0to1                                       , 74.64   
@amadeus-it-group/tans , createComputations1to1                                       , 67.90   
@amadeus-it-group/tans , createComputations2to1                                       , 62.25   
@amadeus-it-group/tans , createComputations4to1                                       , 150.64  
@amadeus-it-group/tans , createComputations1000to1                                    , 54.51   
@amadeus-it-group/tans , createComputations1to2                                       , 67.68   
@amadeus-it-group/tans , createComputations1to4                                       , 71.85   
@amadeus-it-group/tans , createComputations1to8                                       , 69.26   
@amadeus-it-group/tans , createComputations1to1000                                    , 60.76   
@amadeus-it-group/tans , updateComputations1to1                                       , 149.35  
@amadeus-it-group/tans , updateComputations2to1                                       , 65.24   
@amadeus-it-group/tans , updateComputations4to1                                       , 56.95   
@amadeus-it-group/tans , updateComputations1000to1                                    , 54.14   
