framework              , test                                                         , time    
TC39 Signals Polyfill  , createComputations2to1                                       , 62.21   
TC39 Signals Polyfill  , createComputations4to1                                       , 55.91   
TC39 Signals Polyfill  , createComputations1000to1                                    , 49.88   
TC39 Signals Polyfill  , createComputations1to2                                       , 61.22   
TC39 Signals Polyfill  , createComputations1to4                                       , 66.84   
TC39 Signals Polyfill  , createComputations1to8                                       , 58.66   
TC39 Signals Polyfill  , createComputations1to1000                                    , 61.94   
TC39 Signals Polyfill  , updateComputations1to1                                       , 63.32   
TC39 Signals Polyfill  , updateComputations2to1                                       , 65.91   
TC39 Signals Polyfill  , updateComputations4to1                                       , 47.68   
TC39 Signals Polyfill  , updateComputations1000to1                                    , 39.61   
TC39 Signals Polyfill  , updateComputations1to2                                       , 52.21   
TC39 Signals Polyfill  , updateComputations1to4                                       , 49.04   
TC39 Signals Polyfill  , updateComputations1to1000                                    , 45.83   
TC39 Signals Polyfill  , 10x5 - 2 sources - read 20% (simple component)               , 1660.54 
TC39 Signals Polyfill  , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 770.60  
TC39 Signals Polyfill  , 1000x12 - 4 sources - dynamic (large web app)                , 15825.23
TC39 Signals Polyfill  , 1000x5 - 25 sources (wide dense)                             , 9935.08 
TC39 Signals Polyfill  , 5x500 - 3 sources (deep)                                     , 598.95  
@reactively            , avoidablePropagation                                         , 482.57  
@reactively            , broadPropagation                                             , 384.72  
@reactively            , deepPropagation                                              , 151.31  
@reactively            , diamond                                                      , 376.42  
@reactively            , mux                                                          , 317.89  
@reactively            , repeatedObservers                                            , 92.44   
@reactively            , triangle                                                     , 109.32  
@reactively            , unstable                                                     , 203.26  
@reactively            , molBench                                                     , 577.74  
@reactively            , createDataSignals                                            , 49.06   
@reactively            , createComputations0to1                                       , 62.26   
@reactively            , createComputations1to1                                       , 65.48   
@reactively            , createComputations2to1                                       , 49.67   
@reactively            , createComputations4to1                                       , 44.57   
@reactively            , createComputations1000to1                                    , 46.30   
@reactively            , createComputations1to2                                       , 47.20   
@reactively            , createComputations1to4                                       , 51.05   
@reactively            , createComputations1to8                                       , 52.74   
@reactively            , createComputations1to1000                                    , 45.97   
@reactively            , updateComputations1to1                                       , 48.97   
@reactively            , updateComputations2to1                                       , 48.29   
@reactively            , updateComputations4to1                                       , 45.17   
@reactively            , updateComputations1000to1                                    , 42.70   
@reactively            , updateComputations1to2                                       , 46.33   
@reactively            , updateComputations1to4                                       , 51.84   
@reactively            , updateComputations1to1000                                    , 48.67   
@reactively            , 10x5 - 2 sources - read 20% (simple component)               , 267.23  
@reactively            , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 273.07  
