framework              , test                                                         , time     , p95      , p99      , cv       , group          , family                   , metrics                                                                                         
lite                   , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 60.93    , 60.93    , 60.93    , 0.000    , large_graph    , diamond mesh             , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
lite                   , 32x8 - 4 sources - pull (pure pull)                          , 79.22    , 79.22    , 79.22    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
lite                   , 8x64 - 1 sources - pull (linear chain - 1 source - pull (lin , 79.05    , 79.05    , 79.05    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=504 nodesVisited=504 edgesTraversed=504 sinkReads=8                             
lite                   , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branc , 79.32    , 79.32    , 79.32    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=192 nodesVisited=192 edgesTraversed=1536 sinkReads=64                           
lite                   , 32x8 - 4 sources - push (pure push)                          , 207.54   , 207.54   , 207.54   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
lite                   , 10x5 - 2 sources - read 20% (simple component)               , 362.60   , 362.60   , 362.60   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
lite                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 240.92   , 240.92   , 240.92   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
lite                   , 1000x12 - 4 sources - dynamic (large web app)                , 2923.53  , 2923.53  , 2923.53  , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
lite                   , 1000x5 - 25 sources (wide dense)                             , 2557.66  , 2557.66  , 2557.66  , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
lite                   , 5x500 - 3 sources (deep)                                     , 213.56   , 213.56   , 213.56   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
reflex                 , avoidablePropagation                                         , 485.82   , 485.82   , 485.82   , 0.000    , baseline       , selective propagation    ,                                                                                                 
reflex                 , broadPropagation                                             , 392.31   , 392.31   , 392.31   , 0.000    , baseline       , wide fan-out             ,                                                                                                 
reflex                 , deepPropagation                                              , 172.44   , 172.44   , 172.44   , 0.000    , pull           , linear chain             ,                                                                                                 
reflex                 , diamond                                                      , 437.34   , 437.34   , 437.34   , 0.000    , baseline       , diamond                  ,                                                                                                 
reflex                 , mux                                                          , 420.05   , 420.05   , 420.05   , 0.000    , dynamic        , dynamic branch           ,                                                                                                 
reflex                 , repeatedObservers                                            , 112.66   , 112.66   , 112.66   , 0.000    , baseline       , duplicate observer       ,                                                                                                 
reflex                 , triangle                                                     , 160.94   , 160.94   , 160.94   , 0.000    , baseline       , glitch-free triangle     ,                                                                                                 
reflex                 , unstable                                                     , 124.27   , 124.27   , 124.27   , 0.000    , dynamic        , dynamic dependency churn ,                                                                                                 
reflex                 , manyEffectsFromOneSource                                     , 290.58   , 290.58   , 290.58   , 0.000    , push           , wide fan-out             , checksum=180075672000                                                                           
reflex                 , manySourcesIntoOneComputedEffectWithDirect                   , 174.04   , 174.04   , 174.04   , 0.000    , pull           , wide fan-in              , checksum=1372929289844                                                                          
reflex                 , manySourcesIntoOneComputedEffect                             , 165.62   , 165.62   , 165.62   , 0.000    , pull           , wide fan-in              , checksum=1331323690944                                                                          
reflex                 , manySourcesIntoOneDirectEffect                               , 82.18    , 82.18    , 82.18    , 0.000    , pull           , wide fan-in              , checksum=41605598900                                                                            
reflex                 , molBench                                                     , 398.79   , 398.79   , 398.79   , 0.000    , dynamic        , mixed app graph          ,                                                                                                 
reflex                 , createDataSignals                                            , 4.85     , 4.85     , 4.85     , 0.000    , creation       , signal creation          ,                                                                                                 
reflex                 , createComputations0to1                                       , 3.00     , 3.00     , 3.00     , 0.000    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations1to1                                       , 0.79     , 0.79     , 0.79     , 0.000    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations2to1                                       , 2.95     , 2.95     , 2.95     , 0.000    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations4to1                                       , 3.49     , 3.49     , 3.49     , 0.000    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations1000to1                                    , 0.07     , 0.07     , 0.07     , 0.000    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations1to2                                       , 3.75     , 3.75     , 3.75     , 0.000    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations1to4                                       , 3.52     , 3.52     , 3.52     , 0.000    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations1to8                                       , 4.33     , 4.33     , 4.33     , 0.000    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations1to1000                                    , 3.34     , 3.34     , 3.34     , 0.000    , creation       , computed creation        ,                                                                                                 
reflex                 , updateComputations1to1                                       , 5.60     , 5.60     , 5.60     , 0.000    , update         , stable update            ,                                                                                                 
reflex                 , updateComputations2to1                                       , 3.44     , 3.44     , 3.44     , 0.000    , update         , stable update            ,                                                                                                 
reflex                 , updateComputations4to1                                       , 2.19     , 2.19     , 2.19     , 0.000    , update         , stable update            ,                                                                                                 
reflex                 , updateComputations1000to1                                    , 0.32     , 0.32     , 0.32     , 0.000    , update         , stable update            ,                                                                                                 
reflex                 , updateComputations1to2                                       , 2.41     , 2.41     , 2.41     , 0.000    , update         , stable update            ,                                                                                                 
reflex                 , updateComputations1to4                                       , 1.49     , 1.49     , 1.49     , 0.000    , update         , stable update            ,                                                                                                 
reflex                 , updateComputations1to1000                                    , 0.29     , 0.29     , 0.29     , 0.000    , update         , stable update            ,                                                                                                 
reflex                 , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 348.99   , 348.99   , 348.99   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
reflex                 , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 506.81   , 506.81   , 506.81   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
reflex                 , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 294.04   , 294.04   , 294.04   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
reflex                 , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 518.60   , 518.60   , 518.60   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
reflex                 , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 90.49    , 90.49    , 90.49    , 0.000    , large_graph    , layered DAG              , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
reflex                 , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 80.09    , 80.09    , 80.09    , 0.000    , large_graph    , layered DAG              , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
reflex                 , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 1343.62  , 1343.62  , 1343.62  , 0.000    , large_graph    , layered DAG              , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
reflex                 , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 6.91     , 6.91     , 6.91     , 0.000    , large_graph    , diamond mesh             , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
reflex                 , 32x8 - 4 sources - pull (pure pull)                          , 37.35    , 37.35    , 37.35    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
reflex                 , 8x64 - 1 sources - pull (linear chain - 1 source - pull (lin , 79.98    , 79.98    , 79.98    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=504 nodesVisited=504 edgesTraversed=504 sinkReads=8                             
reflex                 , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branc , 37.96    , 37.96    , 37.96    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=192 nodesVisited=192 edgesTraversed=1536 sinkReads=64                           
reflex                 , 32x8 - 4 sources - push (pure push)                          , 156.43   , 156.43   , 156.43   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 268.75   , 268.75   , 268.75   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 237.51   , 237.51   , 237.51   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 349.09   , 349.09   , 349.09   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
reflex                 , 1000x5 - 25 sources (wide dense)                             , 543.11   , 543.11   , 543.11   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
reflex                 , 5x500 - 3 sources (deep)                                     , 202.94   , 202.94   , 202.94   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
alien-signals          , avoidablePropagation                                         , 431.07   , 431.07   , 431.07   , 0.000    , baseline       , selective propagation    ,                                                                                                 
