framework              , test                                                         , time     , p95      , p99      , cv       , group          , family                   , metrics                                                                                         
@solidjs/signals       , updateComputations1to1000                                    , 5.72     , 5.72     , 5.72     , 0.000    , update         , stable update            ,                                                                                                 
@solidjs/signals       , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 1899.51  , 1899.51  , 1899.51  , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=6000270 nodesVisited=6000270 edgesTraversed=24001017 sinkReads=960008 fallbackCo
@solidjs/signals       , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 1486.71  , 1486.71  , 1486.71  , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=5670087 nodesVisited=5670087 edgesTraversed=17010146 sinkReads=900010 fallbackCo
@solidjs/signals       , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 968.68   , 968.68   , 968.68   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=2700620 nodesVisited=2700620 edgesTraversed=13502767 sinkReads=660022 fallbackCo
@solidjs/signals       , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1365.54  , 1365.54  , 1365.54  , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=4320213 nodesVisited=4320213 edgesTraversed=17280788 sinkReads=720024 fallbackCo
@solidjs/signals       , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 174.26   , 174.26   , 174.26   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=233240 nodesVisited=233240 edgesTraversed=932960 sinkReads=61952 fallbackCount=0
@solidjs/signals       , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 194.83   , 194.83   , 194.83   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952 fallbackCount=0
@solidjs/signals       , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 1773.08  , 1773.08  , 1773.08  , 0.000    , large_graph    , layered DAG              , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664 fallbackCou
@solidjs/signals       , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 22.46    , 22.46    , 22.46    , 0.000    , large_graph    , diamond mesh             , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664 fallbackCount=0 h
@solidjs/signals       , 32x8 - 4 sources - pull (pure pull)                          , 42.80    , 42.80    , 42.80    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=448 nodesVisited=448 edgesTraversed=1792 sinkReads=32 fallbackCount=0 heightAdju
@solidjs/signals       , 8x64 - 1 sources - pull (linear chain - 1 source - pull (lin , 81.80    , 81.80    , 81.80    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=1008 nodesVisited=1008 edgesTraversed=1008 sinkReads=8 fallbackCount=0 heightAdj
@solidjs/signals       , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branc , 44.47    , 44.47    , 44.47    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=384 nodesVisited=384 edgesTraversed=3072 sinkReads=64 fallbackCount=0 heightAdju
@solidjs/signals       , 32x8 - 4 sources - push (pure push)                          , 480.94   , 480.94   , 480.94   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010 fallbackCount
@solidjs/signals       , 10x5 - 2 sources - read 20% (simple component)               , 1892.99  , 1892.99  , 1892.99  , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=8400026 nodesVisited=8400026 edgesTraversed=16800052 sinkReads=1200002 fallbackC
@solidjs/signals       , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 546.11   , 546.11   , 546.11   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1290004 nodesVisited=1290004 edgesTraversed=7739922 sinkReads=30002 fallbackCoun
@solidjs/signals       , 1000x12 - 4 sources - dynamic (large web app)                , 784.85   , 784.85   , 784.85   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000 fallbackCo
@solidjs/signals       , 1000x5 - 25 sources (wide dense)                             , 1110.24  , 1110.24  , 1110.24  , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000 fallbackCou
@solidjs/signals       , 5x500 - 3 sources (deep)                                     , 382.97   , 382.97   , 382.97   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505 fallbackCount
Preact Signals         , avoidablePropagation                                         , 504.90   , 504.90   , 504.90   , 0.000    , baseline       , selective propagation    ,                                                                                                 
Preact Signals         , broadPropagation                                             , 455.10   , 455.10   , 455.10   , 0.000    , baseline       , wide fan-out             ,                                                                                                 
Preact Signals         , deepPropagation                                              , 199.77   , 199.77   , 199.77   , 0.000    , pull           , linear chain             ,                                                                                                 
Preact Signals         , diamond                                                      , 451.15   , 451.15   , 451.15   , 0.000    , baseline       , diamond                  ,                                                                                                 
Preact Signals         , mux                                                          , 470.97   , 470.97   , 470.97   , 0.000    , dynamic        , dynamic branch           ,                                                                                                 
Preact Signals         , repeatedObservers                                            , 125.93   , 125.93   , 125.93   , 0.000    , baseline       , duplicate observer       ,                                                                                                 
Preact Signals         , triangle                                                     , 182.67   , 182.67   , 182.67   , 0.000    , baseline       , glitch-free triangle     ,                                                                                                 
Preact Signals         , unstable                                                     , 131.32   , 131.32   , 131.32   , 0.000    , dynamic        , dynamic dependency churn ,                                                                                                 
Preact Signals         , manyEffectsFromOneSource                                     , 270.06   , 270.06   , 270.06   , 0.000    , push           , wide fan-out             , checksum=180075672000                                                                           
Preact Signals         , manySourcesIntoOneComputedEffectWithDirect                   , 236.62   , 236.62   , 236.62   , 0.000    , pull           , wide fan-in              , checksum=1372929289844                                                                          
Preact Signals         , manySourcesIntoOneComputedEffect                             , 268.08   , 268.08   , 268.08   , 0.000    , pull           , wide fan-in              , checksum=1331323690944                                                                          
Preact Signals         , manySourcesIntoOneDirectEffect                               , 108.48   , 108.48   , 108.48   , 0.000    , pull           , wide fan-in              , checksum=41605598900                                                                            
Preact Signals         , molBench                                                     , 401.59   , 401.59   , 401.59   , 0.000    , dynamic        , mixed app graph          ,                                                                                                 
Preact Signals         , createDataSignals                                            , 6.84     , 6.84     , 6.84     , 0.000    , creation       , signal creation          ,                                                                                                 
Preact Signals         , createComputations0to1                                       , 6.24     , 6.24     , 6.24     , 0.000    , creation       , computed creation        ,                                                                                                 
Preact Signals         , createComputations1to1                                       , 18.47    , 18.47    , 18.47    , 0.000    , creation       , computed creation        ,                                                                                                 
Preact Signals         , createComputations2to1                                       , 12.63    , 12.63    , 12.63    , 0.000    , creation       , computed creation        ,                                                                                                 
Preact Signals         , createComputations4to1                                       , 9.47     , 9.47     , 9.47     , 0.000    , creation       , computed creation        ,                                                                                                 
Preact Signals         , createComputations1000to1                                    , 0.16     , 0.16     , 0.16     , 0.000    , creation       , computed creation        ,                                                                                                 
Preact Signals         , createComputations1to2                                       , 12.14    , 12.14    , 12.14    , 0.000    , creation       , computed creation        ,                                                                                                 
Preact Signals         , createComputations1to4                                       , 4.90     , 4.90     , 4.90     , 0.000    , creation       , computed creation        ,                                                                                                 
Preact Signals         , createComputations1to8                                       , 7.82     , 7.82     , 7.82     , 0.000    , creation       , computed creation        ,                                                                                                 
Preact Signals         , createComputations1to1000                                    , 5.04     , 5.04     , 5.04     , 0.000    , creation       , computed creation        ,                                                                                                 
Preact Signals         , updateComputations1to1                                       , 5.61     , 5.61     , 5.61     , 0.000    , update         , stable update            ,                                                                                                 
Preact Signals         , updateComputations2to1                                       , 3.88     , 3.88     , 3.88     , 0.000    , update         , stable update            ,                                                                                                 
Preact Signals         , updateComputations4to1                                       , 2.62     , 2.62     , 2.62     , 0.000    , update         , stable update            ,                                                                                                 
Preact Signals         , updateComputations1000to1                                    , 0.63     , 0.63     , 0.63     , 0.000    , update         , stable update            ,                                                                                                 
Preact Signals         , updateComputations1to2                                       , 3.56     , 3.56     , 3.56     , 0.000    , update         , stable update            ,                                                                                                 
Preact Signals         , updateComputations1to4                                       , 2.63     , 2.63     , 2.63     , 0.000    , update         , stable update            ,                                                                                                 
Preact Signals         , updateComputations1to1000                                    , 0.30     , 0.30     , 0.30     , 0.000    , update         , stable update            ,                                                                                                 
Preact Signals         , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 792.19   , 792.19   , 792.19   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
Preact Signals         , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 732.36   , 732.36   , 732.36   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
Preact Signals         , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 921.11   , 921.11   , 921.11   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
Preact Signals         , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 709.73   , 709.73   , 709.73   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
Preact Signals         , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 169.75   , 169.75   , 169.75   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
Preact Signals         , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 167.18   , 167.18   , 167.18   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
Preact Signals         , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 731.44   , 731.44   , 731.44   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
Preact Signals         , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 66.88    , 66.88    , 66.88    , 0.000    , large_graph    , diamond mesh             , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
Preact Signals         , 32x8 - 4 sources - pull (pure pull)                          , 82.00    , 82.00    , 82.00    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
Preact Signals         , 8x64 - 1 sources - pull (linear chain - 1 source - pull (lin , 85.89    , 85.89    , 85.89    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=504 nodesVisited=504 edgesTraversed=504 sinkReads=8                             
Preact Signals         , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branc , 79.27    , 79.27    , 79.27    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=192 nodesVisited=192 edgesTraversed=1536 sinkReads=64                           
Preact Signals         , 32x8 - 4 sources - push (pure push)                          , 215.41   , 215.41   , 215.41   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
Preact Signals         , 10x5 - 2 sources - read 20% (simple component)               , 375.51   , 375.51   , 375.51   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
Preact Signals         , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 258.99   , 258.99   , 258.99   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
Preact Signals         , 1000x12 - 4 sources - dynamic (large web app)                , 3093.65  , 3093.65  , 3093.65  , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
Preact Signals         , 1000x5 - 25 sources (wide dense)                             , 2414.05  , 2414.05  , 2414.05  , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
Preact Signals         , 5x500 - 3 sources (deep)                                     , 186.49   , 186.49   , 186.49   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
@reactively            , avoidablePropagation                                         , 567.88   , 567.88   , 567.88   , 0.000    , baseline       , selective propagation    ,                                                                                                 
@reactively            , broadPropagation                                             , 468.67   , 468.67   , 468.67   , 0.000    , baseline       , wide fan-out             ,                                                                                                 
@reactively            , deepPropagation                                              , 214.08   , 214.08   , 214.08   , 0.000    , pull           , linear chain             ,                                                                                                 
@reactively            , diamond                                                      , 463.16   , 463.16   , 463.16   , 0.000    , baseline       , diamond                  ,                                                                                                 
@reactively            , mux                                                          , 440.84   , 440.84   , 440.84   , 0.000    , dynamic        , dynamic branch           ,                                                                                                 
@reactively            , repeatedObservers                                            , 137.53   , 137.53   , 137.53   , 0.000    , baseline       , duplicate observer       ,                                                                                                 
@reactively            , triangle                                                     , 196.71   , 196.71   , 196.71   , 0.000    , baseline       , glitch-free triangle     ,                                                                                                 
@reactively            , unstable                                                     , 240.24   , 240.24   , 240.24   , 0.000    , dynamic        , dynamic dependency churn ,                                                                                                 
@reactively            , manyEffectsFromOneSource                                     , 309.63   , 309.63   , 309.63   , 0.000    , push           , wide fan-out             , checksum=180075672000                                                                           
@reactively            , manySourcesIntoOneComputedEffectWithDirect                   , 175.87   , 175.87   , 175.87   , 0.000    , pull           , wide fan-in              , checksum=1372929290292                                                                          
@reactively            , manySourcesIntoOneComputedEffect                             , 170.18   , 170.18   , 170.18   , 0.000    , pull           , wide fan-in              , checksum=1331323690944                                                                          
@reactively            , manySourcesIntoOneDirectEffect                               , 88.45    , 88.45    , 88.45    , 0.000    , pull           , wide fan-in              , checksum=41605599348                                                                            
@reactively            , molBench                                                     , 404.04   , 404.04   , 404.04   , 0.000    , dynamic        , mixed app graph          ,                                                                                                 
@reactively            , createDataSignals                                            , 4.45     , 4.45     , 4.45     , 0.000    , creation       , signal creation          ,                                                                                                 
@reactively            , createComputations0to1                                       , 4.42     , 4.42     , 4.42     , 0.000    , creation       , computed creation        ,                                                                                                 
@reactively            , createComputations1to1                                       , 14.57    , 14.57    , 14.57    , 0.000    , creation       , computed creation        ,                                                                                                 
@reactively            , createComputations2to1                                       , 10.62    , 10.62    , 10.62    , 0.000    , creation       , computed creation        ,                                                                                                 
@reactively            , createComputations4to1                                       , 6.55     , 6.55     , 6.55     , 0.000    , creation       , computed creation        ,                                                                                                 
@reactively            , createComputations1000to1                                    , 0.06     , 0.06     , 0.06     , 0.000    , creation       , computed creation        ,                                                                                                 
@reactively            , createComputations1to2                                       , 11.14    , 11.14    , 11.14    , 0.000    , creation       , computed creation        ,                                                                                                 
@reactively            , createComputations1to4                                       , 4.66     , 4.66     , 4.66     , 0.000    , creation       , computed creation        ,                                                                                                 
@reactively            , createComputations1to8                                       , 5.01     , 5.01     , 5.01     , 0.000    , creation       , computed creation        ,                                                                                                 
@reactively            , createComputations1to1000                                    , 4.55     , 4.55     , 4.55     , 0.000    , creation       , computed creation        ,                                                                                                 
@reactively            , updateComputations1to1                                       , 4.21     , 4.21     , 4.21     , 0.000    , update         , stable update            ,                                                                                                 
@reactively            , updateComputations2to1                                       , 2.59     , 2.59     , 2.59     , 0.000    , update         , stable update            ,                                                                                                 
@reactively            , updateComputations4to1                                       , 1.83     , 1.83     , 1.83     , 0.000    , update         , stable update            ,                                                                                                 
@reactively            , updateComputations1000to1                                    , 0.48     , 0.48     , 0.48     , 0.000    , update         , stable update            ,                                                                                                 
@reactively            , updateComputations1to2                                       , 2.08     , 2.08     , 2.08     , 0.000    , update         , stable update            ,                                                                                                 
@reactively            , updateComputations1to4                                       , 1.96     , 1.96     , 1.96     , 0.000    , update         , stable update            ,                                                                                                 
@reactively            , updateComputations1to1000                                    , 0.28     , 0.28     , 0.28     , 0.000    , update         , stable update            ,                                                                                                 
@reactively            , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 418.69   , 418.69   , 418.69   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
@reactively            , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 620.72   , 620.72   , 620.72   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
@reactively            , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 354.15   , 354.15   , 354.15   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
@reactively            , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 649.33   , 649.33   , 649.33   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
@reactively            , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 174.93   , 174.93   , 174.93   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
@reactively            , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 138.13   , 138.13   , 138.13   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
@reactively            , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 1049.43  , 1049.43  , 1049.43  , 0.000    , large_graph    , layered DAG              , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
@reactively            , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 8.75     , 8.75     , 8.75     , 0.000    , large_graph    , diamond mesh             , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
@reactively            , 32x8 - 4 sources - pull (pure pull)                          , 38.32    , 38.32    , 38.32    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
@reactively            , 8x64 - 1 sources - pull (linear chain - 1 source - pull (lin , 80.03    , 80.03    , 80.03    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=504 nodesVisited=504 edgesTraversed=504 sinkReads=8                             
@reactively            , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branc , 38.77    , 38.77    , 38.77    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=192 nodesVisited=192 edgesTraversed=1536 sinkReads=64                           
@reactively            , 32x8 - 4 sources - push (pure push)                          , 184.60   , 184.60   , 184.60   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220042              
@reactively            , 10x5 - 2 sources - read 20% (simple component)               , 294.31   , 294.31   , 294.31   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
@reactively            , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 267.02   , 267.02   , 267.02   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
@reactively            , 1000x12 - 4 sources - dynamic (large web app)                , 548.56   , 548.56   , 548.56   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
@reactively            , 1000x5 - 25 sources (wide dense)                             , 557.15   , 557.15   , 557.15   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
@reactively            , 5x500 - 3 sources (deep)                                     , 251.17   , 251.17   , 251.17   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
s-js                   , avoidablePropagation                                         , 692.88   , 692.88   , 692.88   , 0.000    , baseline       , selective propagation    ,                                                                                                 
s-js                   , broadPropagation                                             , 444.22   , 444.22   , 444.22   , 0.000    , baseline       , wide fan-out             ,                                                                                                 
s-js                   , deepPropagation                                              , 175.77   , 175.77   , 175.77   , 0.000    , pull           , linear chain             ,                                                                                                 
s-js                   , diamond                                                      , 489.64   , 489.64   , 489.64   , 0.000    , baseline       , diamond                  ,                                                                                                 
s-js                   , mux                                                          , 579.55   , 579.55   , 579.55   , 0.000    , dynamic        , dynamic branch           ,                                                                                                 
s-js                   , repeatedObservers                                            , 171.94   , 171.94   , 171.94   , 0.000    , baseline       , duplicate observer       ,                                                                                                 
s-js                   , triangle                                                     , 191.58   , 191.58   , 191.58   , 0.000    , baseline       , glitch-free triangle     ,                                                                                                 
s-js                   , unstable                                                     , 201.28   , 201.28   , 201.28   , 0.000    , dynamic        , dynamic dependency churn ,                                                                                                 
s-js                   , manyEffectsFromOneSource                                     , 350.16   , 350.16   , 350.16   , 0.000    , push           , wide fan-out             , checksum=180075672000                                                                           
s-js                   , manySourcesIntoOneComputedEffectWithDirect                   , 236.80   , 236.80   , 236.80   , 0.000    , pull           , wide fan-in              , checksum=1372929289844                                                                          
s-js                   , manySourcesIntoOneComputedEffect                             , 229.83   , 229.83   , 229.83   , 0.000    , pull           , wide fan-in              , checksum=1331323690944                                                                          
s-js                   , manySourcesIntoOneDirectEffect                               , 94.81    , 94.81    , 94.81    , 0.000    , pull           , wide fan-in              , checksum=41605598900                                                                            
s-js                   , molBench                                                     , 953.30   , 953.30   , 953.30   , 0.000    , dynamic        , mixed app graph          ,                                                                                                 
s-js                   , createDataSignals                                            , 11.37    , 11.37    , 11.37    , 0.000    , creation       , signal creation          ,                                                                                                 
s-js                   , createComputations0to1                                       , 8.05     , 8.05     , 8.05     , 0.000    , creation       , computed creation        ,                                                                                                 
s-js                   , createComputations1to1                                       , 25.82    , 25.82    , 25.82    , 0.000    , creation       , computed creation        ,                                                                                                 
s-js                   , createComputations2to1                                       , 33.85    , 33.85    , 33.85    , 0.000    , creation       , computed creation        ,                                                                                                 
s-js                   , createComputations4to1                                       , 34.71    , 34.71    , 34.71    , 0.000    , creation       , computed creation        ,                                                                                                 
s-js                   , createComputations1000to1                                    , 16.70    , 16.70    , 16.70    , 0.000    , creation       , computed creation        ,                                                                                                 
s-js                   , createComputations1to2                                       , 22.55    , 22.55    , 22.55    , 0.000    , creation       , computed creation        ,                                                                                                 
s-js                   , createComputations1to4                                       , 22.99    , 22.99    , 22.99    , 0.000    , creation       , computed creation        ,                                                                                                 
s-js                   , createComputations1to8                                       , 12.46    , 12.46    , 12.46    , 0.000    , creation       , computed creation        ,                                                                                                 
s-js                   , createComputations1to1000                                    , 11.93    , 11.93    , 11.93    , 0.000    , creation       , computed creation        ,                                                                                                 
s-js                   , updateComputations1to1                                       , 32.29    , 32.29    , 32.29    , 0.000    , update         , stable update            ,                                                                                                 
s-js                   , updateComputations2to1                                       , 27.22    , 27.22    , 27.22    , 0.000    , update         , stable update            ,                                                                                                 
s-js                   , updateComputations4to1                                       , 20.17    , 20.17    , 20.17    , 0.000    , update         , stable update            ,                                                                                                 
s-js                   , updateComputations1000to1                                    , 23.46    , 23.46    , 23.46    , 0.000    , update         , stable update            ,                                                                                                 
s-js                   , updateComputations1to2                                       , 30.88    , 30.88    , 30.88    , 0.000    , update         , stable update            ,                                                                                                 
s-js                   , updateComputations1to4                                       , 31.53    , 31.53    , 31.53    , 0.000    , update         , stable update            ,                                                                                                 
s-js                   , updateComputations1to1000                                    , 27.68    , 27.68    , 27.68    , 0.000    , update         , stable update            ,                                                                                                 
s-js                   , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 1243.54  , 1243.54  , 1243.54  , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=6000270 nodesVisited=6000270 edgesTraversed=24001017 sinkReads=960008           
s-js                   , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 959.06   , 959.06   , 959.06   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=5670087 nodesVisited=5670087 edgesTraversed=17010146 sinkReads=900010           
s-js                   , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 733.24   , 733.24   , 733.24   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=2700620 nodesVisited=2700620 edgesTraversed=13502767 sinkReads=660022           
s-js                   , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1018.63  , 1018.63  , 1018.63  , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=4320213 nodesVisited=4320213 edgesTraversed=17280788 sinkReads=720024           
s-js                   , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 255.50   , 255.50   , 255.50   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=233240 nodesVisited=233240 edgesTraversed=932960 sinkReads=61952                
s-js                   , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 248.75   , 248.75   , 248.75   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
s-js                   , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 2477.38  , 2477.38  , 2477.38  , 0.000    , large_graph    , layered DAG              , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
s-js                   , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 14.03    , 14.03    , 14.03    , 0.000    , large_graph    , diamond mesh             , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
s-js                   , 32x8 - 4 sources - pull (pure pull)                          , 230.88   , 230.88   , 230.88   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=32                  
s-js                   , 8x64 - 1 sources - pull (linear chain - 1 source - pull (lin , 97.00    , 97.00    , 97.00    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=630441 nodesVisited=630441 edgesTraversed=630441 sinkReads=8                    
s-js                   , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branc , 212.22   , 212.22   , 212.22   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=450147 nodesVisited=450147 edgesTraversed=3601176 sinkReads=64                  
s-js                   , 32x8 - 4 sources - push (pure push)                          , 251.06   , 251.06   , 251.06   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
s-js                   , 10x5 - 2 sources - read 20% (simple component)               , 915.80   , 915.80   , 915.80   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=8400026 nodesVisited=8400026 edgesTraversed=16800052 sinkReads=1200002          
s-js                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 411.32   , 411.32   , 411.32   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1290004 nodesVisited=1290004 edgesTraversed=7739922 sinkReads=30002             
s-js                   , 1000x12 - 4 sources - dynamic (large web app)                , 668.87   , 668.87   , 668.87   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
