framework              , test                                                         , time    
TC39 Signals Polyfill  , createComputations4to1                                       , 58.91   
TC39 Signals Polyfill  , createComputations1000to1                                    , 46.10   
TC39 Signals Polyfill  , createComputations1to2                                       , 67.96   
TC39 Signals Polyfill  , createComputations1to4                                       , 64.53   
TC39 Signals Polyfill  , createComputations1to8                                       , 65.50   
TC39 Signals Polyfill  , createComputations1to1000                                    , 64.86   
TC39 Signals Polyfill  , updateComputations1to1                                       , 63.93   
TC39 Signals Polyfill  , updateComputations2to1                                       , 57.69   
TC39 Signals Polyfill  , updateComputations4to1                                       , 49.64   
TC39 Signals Polyfill  , updateComputations1000to1                                    , 45.85   
TC39 Signals Polyfill  , updateComputations1to2                                       , 67.30   
TC39 Signals Polyfill  , updateComputations1to4                                       , 50.77   
TC39 Signals Polyfill  , updateComputations1to1000                                    , 45.46   
TC39 Signals Polyfill  , 10x5 - 2 sources - read 20% (simple component)               , 1643.97 
TC39 Signals Polyfill  , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 767.50  
TC39 Signals Polyfill  , 1000x12 - 4 sources - dynamic (large web app)                , 15875.16
TC39 Signals Polyfill  , 1000x5 - 25 sources (wide dense)                             , 9963.99 
TC39 Signals Polyfill  , 5x500 - 3 sources (deep)                                     , 609.52  
@reactively            , avoidablePropagation                                         , 496.79  
@reactively            , broadPropagation                                             , 386.55  
@reactively            , deepPropagation                                              , 151.69  
@reactively            , diamond                                                      , 369.87  
@reactively            , mux                                                          , 320.63  
@reactively            , repeatedObservers                                            , 92.41   
@reactively            , triangle                                                     , 107.28  
@reactively            , unstable                                                     , 191.48  
@reactively            , molBench                                                     , 576.14  
@reactively            , createDataSignals                                            , 44.96   
@reactively            , createComputations0to1                                       , 57.66   
@reactively            , createComputations1to1                                       , 52.83   
@reactively            , createComputations2to1                                       , 49.43   
@reactively            , createComputations4to1                                       , 48.62   
@reactively            , createComputations1000to1                                    , 51.69   
@reactively            , createComputations1to2                                       , 47.50   
@reactively            , createComputations1to4                                       , 52.07   
@reactively            , createComputations1to8                                       , 55.95   
@reactively            , createComputations1to1000                                    , 54.83   
@reactively            , updateComputations1to1                                       , 51.24   
@reactively            , updateComputations2to1                                       , 49.34   
@reactively            , updateComputations4to1                                       , 47.44   
@reactively            , updateComputations1000to1                                    , 48.54   
@reactively            , updateComputations1to2                                       , 49.40   
@reactively            , updateComputations1to4                                       , 45.86   
@reactively            , updateComputations1to1000                                    , 49.50   
@reactively            , 10x5 - 2 sources - read 20% (simple component)               , 263.21  
@reactively            , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 269.36  
@reactively            , 1000x12 - 4 sources - dynamic (large web app)                , 439.38  
@reactively            , 1000x5 - 25 sources (wide dense)                             , 563.17  
@reactively            , 5x500 - 3 sources (deep)                                     , 249.09  
s-js                   , avoidablePropagation                                         , 541.70  
s-js                   , broadPropagation                                             , 309.58  
s-js                   , deepPropagation                                              , 103.28  
s-js                   , diamond                                                      , 374.99  
s-js                   , mux                                                          , 385.49  
s-js                   , repeatedObservers                                            , 134.03  
s-js                   , triangle                                                     , 112.50  
s-js                   , unstable                                                     , 147.58  
s-js                   , molBench                                                     , 908.84  
s-js                   , createDataSignals                                            , 50.11   
s-js                   , createComputations0to1                                       , 47.96   
s-js                   , createComputations1to1                                       , 66.65   
s-js                   , createComputations2to1                                       , 70.18   
s-js                   , createComputations4to1                                       , 60.81   
s-js                   , createComputations1000to1                                    , 61.28   
s-js                   , createComputations1to2                                       , 62.93   
s-js                   , createComputations1to4                                       , 51.40   
s-js                   , createComputations1to8                                       , 57.45   
s-js                   , createComputations1to1000                                    , 65.26   
s-js                   , updateComputations1to1                                       , 80.69   
s-js                   , updateComputations2to1                                       , 75.79   
s-js                   , updateComputations4to1                                       , 72.22   
s-js                   , updateComputations1000to1                                    , 83.33   
s-js                   , updateComputations1to2                                       , 80.73   
s-js                   , updateComputations1to4                                       , 85.11   
s-js                   , updateComputations1to1000                                    , 69.45   
s-js                   , 10x5 - 2 sources - read 20% (simple component)               , 836.26  
s-js                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 386.12  
s-js                   , 1000x12 - 4 sources - dynamic (large web app)                , 503.95  
s-js                   , 1000x5 - 25 sources (wide dense)                             , 920.23  
s-js                   , 5x500 - 3 sources (deep)                                     , 300.69  
@amadeus-it-group/tans , avoidablePropagation                                         , 691.07  
