framework              , test                                                         , time    
TC39 Signals Polyfill  , createDataSignals                                            , 172.62  
TC39 Signals Polyfill  , createComputations0to1                                       , 127.59  
TC39 Signals Polyfill  , createComputations1to1                                       , 120.92  
TC39 Signals Polyfill  , createComputations2to1                                       , 109.27  
TC39 Signals Polyfill  , createComputations4to1                                       , 98.25   
TC39 Signals Polyfill  , createComputations1000to1                                    , 98.58   
TC39 Signals Polyfill  , createComputations1to2                                       , 120.55  
TC39 Signals Polyfill  , createComputations1to4                                       , 113.72  
TC39 Signals Polyfill  , createComputations1to8                                       , 105.25  
TC39 Signals Polyfill  , createComputations1to1000                                    , 102.60  
TC39 Signals Polyfill  , updateComputations1to1                                       , 120.97  
TC39 Signals Polyfill  , updateComputations2to1                                       , 91.75   
TC39 Signals Polyfill  , updateComputations4to1                                       , 85.44   
TC39 Signals Polyfill  , updateComputations1000to1                                    , 83.31   
TC39 Signals Polyfill  , updateComputations1to2                                       , 96.27   
TC39 Signals Polyfill  , updateComputations1to4                                       , 83.50   
TC39 Signals Polyfill  , updateComputations1to1000                                    , 85.15   
TC39 Signals Polyfill  , 10x5 - 2 sources - read 20% (simple component)               , 1677.05 
TC39 Signals Polyfill  , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 845.91  
TC39 Signals Polyfill  , 1000x12 - 4 sources - dynamic (large web app)                , 17599.08
TC39 Signals Polyfill  , 1000x5 - 25 sources (wide dense)                             , 11202.65
TC39 Signals Polyfill  , 5x500 - 3 sources (deep)                                     , 699.82  
TC39 Signals Polyfill  , 100x15 - 6 sources - dynamic (very dynamic)                  , 1333.07 
@reactively            , avoidablePropagation                                         , 453.31  
@reactively            , broadPropagation                                             , 420.88  
@reactively            , deepPropagation                                              , 170.58  
@reactively            , diamond                                                      , 362.84  
@reactively            , mux                                                          , 341.49  
@reactively            , repeatedObservers                                            , 93.65   
@reactively            , triangle                                                     , 110.11  
@reactively            , unstable                                                     , 167.15  
@reactively            , molBench                                                     , 646.72  
@reactively            , createDataSignals                                            , 118.50  
@reactively            , createComputations0to1                                       , 87.66   
@reactively            , createComputations1to1                                       , 122.44  
@reactively            , createComputations2to1                                       , 124.93  
@reactively            , createComputations4to1                                       , 91.98   
@reactively            , createComputations1000to1                                    , 90.08   
@reactively            , createComputations1to2                                       , 97.00   
@reactively            , createComputations1to4                                       , 92.72   
@reactively            , createComputations1to8                                       , 96.96   
@reactively            , createComputations1to1000                                    , 99.35   
@reactively            , updateComputations1to1                                       , 89.25   
@reactively            , updateComputations2to1                                       , 87.33   
@reactively            , updateComputations4to1                                       , 92.76   
@reactively            , updateComputations1000to1                                    , 88.49   
@reactively            , updateComputations1to2                                       , 89.43   
@reactively            , updateComputations1to4                                       , 85.78   
@reactively            , updateComputations1to1000                                    , 84.90   
@reactively            , 10x5 - 2 sources - read 20% (simple component)               , 325.72  
@reactively            , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 323.43  
@reactively            , 1000x12 - 4 sources - dynamic (large web app)                , 501.05  
