framework              , test                                                         , time    
Preact Signals         , updateComputations1to1                                       , 72.36   
Preact Signals         , updateComputations2to1                                       , 67.71   
Preact Signals         , updateComputations4to1                                       , 68.97   
Preact Signals         , updateComputations1000to1                                    , 64.59   
Preact Signals         , updateComputations1to2                                       , 69.18   
Preact Signals         , updateComputations1to4                                       , 70.65   
Preact Signals         , updateComputations1to1000                                    , 66.38   
Preact Signals         , 200x6 - 2 sources (diamond shared deps)                      , 261.69  
Preact Signals         , 5000x2 - 1 sources (broad fan-out)                           , 519.80  
Preact Signals         , 1x2 - 5000 sources (many sources one sink)                   , 198.71  
Preact Signals         , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 7200.95 
Preact Signals         , 300x10 - 4 sources (stable after recompute)                  , 1899.29 
Preact Signals         , 500x8 - 4 sources (hot reads stable graph)                   , 21459.55
Preact Signals         , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 277.48  
Preact Signals         , 1x3 - 2 sources (many observers)                             , 202.96  
Preact Signals         , 5x300 - 3 sources - dynamic (deep dynamic)                   , 262.05  
Preact Signals         , 10000x2 - 2 sources (ultra wide shallow)                     , 499.80  
Preact Signals         , 10x5 - 2 sources - read 20% (simple component)               , 345.86  
Preact Signals         , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 261.54  
Preact Signals         , 1000x12 - 4 sources - dynamic (large web app)                , 4160.66 
Preact Signals         , 1000x5 - 25 sources (wide dense)                             , 2972.34 
Preact Signals         , 5x500 - 3 sources (deep)                                     , 207.76  
TC39 Signals Polyfill  , avoidablePropagation                                         , 1203.48 
TC39 Signals Polyfill  , broadPropagation                                             , 1378.51 
TC39 Signals Polyfill  , deepPropagation                                              , 425.22  
TC39 Signals Polyfill  , diamond                                                      , 1159.29 
TC39 Signals Polyfill  , mux                                                          , 925.03  
TC39 Signals Polyfill  , repeatedObservers                                            , 320.74  
TC39 Signals Polyfill  , triangle                                                     , 413.99  
TC39 Signals Polyfill  , unstable                                                     , 980.75  
TC39 Signals Polyfill  , molBench                                                     , 643.72  
TC39 Signals Polyfill  , createDataSignals                                            , 133.02  
TC39 Signals Polyfill  , createComputations0to1                                       , 133.07  
TC39 Signals Polyfill  , createComputations1to1                                       , 95.98   
TC39 Signals Polyfill  , createComputations2to1                                       , 85.99   
TC39 Signals Polyfill  , createComputations4to1                                       , 84.98   
TC39 Signals Polyfill  , createComputations1000to1                                    , 79.25   
TC39 Signals Polyfill  , createComputations1to2                                       , 96.34   
TC39 Signals Polyfill  , createComputations1to4                                       , 95.82   
TC39 Signals Polyfill  , createComputations1to8                                       , 89.02   
TC39 Signals Polyfill  , createComputations1to1000                                    , 91.44   
TC39 Signals Polyfill  , updateComputations1to1                                       , 94.75   
TC39 Signals Polyfill  , updateComputations2to1                                       , 85.68   
TC39 Signals Polyfill  , updateComputations4to1                                       , 76.94   
TC39 Signals Polyfill  , updateComputations1000to1                                    , 72.90   
TC39 Signals Polyfill  , updateComputations1to2                                       , 81.61   
TC39 Signals Polyfill  , updateComputations1to4                                       , 79.03   
TC39 Signals Polyfill  , updateComputations1to1000                                    , 72.96   
TC39 Signals Polyfill  , 200x6 - 2 sources (diamond shared deps)                      , 1343.43 
TC39 Signals Polyfill  , 5000x2 - 1 sources (broad fan-out)                           , 3540.72 
TC39 Signals Polyfill  , 1x2 - 5000 sources (many sources one sink)                   , 993.59  
TC39 Signals Polyfill  , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 15687.57
TC39 Signals Polyfill  , 300x10 - 4 sources (stable after recompute)                  , 12165.49
TC39 Signals Polyfill  , 500x8 - 4 sources (hot reads stable graph)                   , 148709.8
TC39 Signals Polyfill  , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 1311.77 
TC39 Signals Polyfill  , 1x3 - 2 sources (many observers)                             , 77.64   
TC39 Signals Polyfill  , 5x300 - 3 sources - dynamic (deep dynamic)                   , 743.07  
TC39 Signals Polyfill  , 10000x2 - 2 sources (ultra wide shallow)                     , 4091.99 
TC39 Signals Polyfill  , 10x5 - 2 sources - read 20% (simple component)               , 1686.55 
TC39 Signals Polyfill  , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 798.84  
TC39 Signals Polyfill  , 1000x12 - 4 sources - dynamic (large web app)                , 15013.37
TC39 Signals Polyfill  , 1000x5 - 25 sources (wide dense)                             , 10063.65
TC39 Signals Polyfill  , 5x500 - 3 sources (deep)                                     , 620.73  
@reactively            , avoidablePropagation                                         , 488.44  
@reactively            , broadPropagation                                             , 382.37  
@reactively            , deepPropagation                                              , 153.57  
