framework              , test                                                         , time    
Preact Signals         , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 848.77  
Preact Signals         , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 717.53  
Preact Signals         , 32x8 - 4 sources - pull (pure pull)                          , 56.00   
Preact Signals         , 32x8 - 4 sources - push (pure push)                          , 222.84  
Preact Signals         , 10x5 - 2 sources - read 20% (simple component)               , 469.73  
Preact Signals         , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 311.19  
Preact Signals         , 1000x12 - 4 sources - dynamic (large web app)                , 4687.60 
Preact Signals         , 1000x5 - 25 sources (wide dense)                             , 2464.58 
Preact Signals         , 5x500 - 3 sources (deep)                                     , 218.87  
@reactively            , avoidablePropagation                                         , 390.90  
@reactively            , broadPropagation                                             , 348.32  
@reactively            , deepPropagation                                              , 169.35  
@reactively            , diamond                                                      , 323.26  
@reactively            , mux                                                          , 312.36  
@reactively            , repeatedObservers                                            , 66.23   
@reactively            , triangle                                                     , 99.01   
@reactively            , unstable                                                     , 169.26  
@reactively            , molBench                                                     , 315.32  
@reactively            , createDataSignals                                            , 53.67   
@reactively            , createComputations0to1                                       , 73.40   
@reactively            , createComputations1to1                                       , 57.19   
@reactively            , createComputations2to1                                       , 59.72   
@reactively            , createComputations4to1                                       , 88.24   
@reactively            , createComputations1000to1                                    , 123.48  
@reactively            , createComputations1to2                                       , 128.51  
@reactively            , createComputations1to4                                       , 90.16   
@reactively            , createComputations1to8                                       , 65.57   
@reactively            , createComputations1to1000                                    , 128.80  
@reactively            , updateComputations1to1                                       , 52.92   
@reactively            , updateComputations2to1                                       , 51.48   
@reactively            , updateComputations4to1                                       , 126.07  
@reactively            , updateComputations1000to1                                    , 55.38   
@reactively            , updateComputations1to2                                       , 51.34   
@reactively            , updateComputations1to4                                       , 50.97   
@reactively            , updateComputations1to1000                                    , 48.58   
@reactively            , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 406.80  
@reactively            , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 671.64  
@reactively            , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 370.14  
@reactively            , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 630.81  
@reactively            , 32x8 - 4 sources - pull (pure pull)                          , 124.51  
@reactively            , 32x8 - 4 sources - push (pure push)                          , 215.88  
@reactively            , 10x5 - 2 sources - read 20% (simple component)               , 327.65  
@reactively            , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 330.15  
@reactively            , 1000x12 - 4 sources - dynamic (large web app)                , 355.92  
@reactively            , 1000x5 - 25 sources (wide dense)                             , 493.23  
@reactively            , 5x500 - 3 sources (deep)                                     , 268.05  
s-js                   , avoidablePropagation                                         , 447.49  
s-js                   , broadPropagation                                             , 268.52  
s-js                   , deepPropagation                                              , 90.35   
s-js                   , diamond                                                      , 309.10  
s-js                   , mux                                                          , 364.24  
s-js                   , repeatedObservers                                            , 94.20   
s-js                   , triangle                                                     , 101.36  
s-js                   , unstable                                                     , 106.51  
s-js                   , molBench                                                     , 800.21  
s-js                   , createDataSignals                                            , 131.20  
s-js                   , createComputations0to1                                       , 57.11   
s-js                   , createComputations1to1                                       , 141.13  
s-js                   , createComputations2to1                                       , 64.72   
s-js                   , createComputations4to1                                       , 78.46   
s-js                   , createComputations1000to1                                    , 62.91   
s-js                   , createComputations1to2                                       , 66.41   
s-js                   , createComputations1to4                                       , 68.90   
s-js                   , createComputations1to8                                       , 96.53   
s-js                   , createComputations1to1000                                    , 97.03   
s-js                   , updateComputations1to1                                       , 92.99   
s-js                   , updateComputations2to1                                       , 74.48   
s-js                   , updateComputations4to1                                       , 94.55   
s-js                   , updateComputations1000to1                                    , 77.27   
s-js                   , updateComputations1to2                                       , 89.34   
s-js                   , updateComputations1to4                                       , 82.12   
s-js                   , updateComputations1to1000                                    , 73.41   
s-js                   , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 1091.08 
s-js                   , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 824.13  
