framework              , test                                                         , time    
Preact Signals         , updateComputations1to1                                       , 72.00   
Preact Signals         , updateComputations2to1                                       , 71.02   
Preact Signals         , updateComputations4to1                                       , 72.10   
Preact Signals         , updateComputations1000to1                                    , 67.49   
Preact Signals         , updateComputations1to2                                       , 72.38   
Preact Signals         , updateComputations1to4                                       , 70.35   
Preact Signals         , updateComputations1to1000                                    , 67.01   
Preact Signals         , 200x6 - 2 sources (diamond shared deps)                      , 259.72  
Preact Signals         , 5000x2 - 1 sources (broad fan-out)                           , 455.76  
Preact Signals         , 1x2 - 5000 sources (many sources one sink)                   , 198.59  
Preact Signals         , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 7406.87 
Preact Signals         , 300x10 - 4 sources (stable after recompute)                  , 2159.02 
Preact Signals         , 500x8 - 4 sources (hot reads stable graph)                   , 23430.25
Preact Signals         , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 313.54  
Preact Signals         , 1x3 - 2 sources (many observers)                             , 99.38   
Preact Signals         , 5x300 - 3 sources - dynamic (deep dynamic)                   , 263.64  
Preact Signals         , 10000x2 - 2 sources (ultra wide shallow)                     , 539.76  
Preact Signals         , 10x5 - 2 sources - read 20% (simple component)               , 350.93  
Preact Signals         , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 262.39  
Preact Signals         , 1000x12 - 4 sources - dynamic (large web app)                , 4300.02 
Preact Signals         , 1000x5 - 25 sources (wide dense)                             , 2924.72 
Preact Signals         , 5x500 - 3 sources (deep)                                     , 205.83  
TC39 Signals Polyfill  , avoidablePropagation                                         , 1204.90 
TC39 Signals Polyfill  , broadPropagation                                             , 1392.56 
TC39 Signals Polyfill  , deepPropagation                                              , 420.96  
TC39 Signals Polyfill  , diamond                                                      , 1171.23 
TC39 Signals Polyfill  , mux                                                          , 1075.08 
TC39 Signals Polyfill  , repeatedObservers                                            , 335.96  
TC39 Signals Polyfill  , triangle                                                     , 407.87  
TC39 Signals Polyfill  , unstable                                                     , 972.17  
TC39 Signals Polyfill  , molBench                                                     , 645.97  
TC39 Signals Polyfill  , createDataSignals                                            , 164.87  
TC39 Signals Polyfill  , createComputations0to1                                       , 132.68  
TC39 Signals Polyfill  , createComputations1to1                                       , 87.64   
TC39 Signals Polyfill  , createComputations2to1                                       , 85.91   
TC39 Signals Polyfill  , createComputations4to1                                       , 86.79   
TC39 Signals Polyfill  , createComputations1000to1                                    , 80.18   
TC39 Signals Polyfill  , createComputations1to2                                       , 99.47   
TC39 Signals Polyfill  , createComputations1to4                                       , 97.58   
TC39 Signals Polyfill  , createComputations1to8                                       , 99.15   
TC39 Signals Polyfill  , createComputations1to1000                                    , 88.17   
TC39 Signals Polyfill  , updateComputations1to1                                       , 93.91   
TC39 Signals Polyfill  , updateComputations2to1                                       , 84.04   
